entry_num,timestamp,source_url,selected,selected_role,selected_rank,selected_region,selected_platform,selected_gamemode,hero_id,hero_name,pickrate,winrate,role,pull_datetime_utc,pull_date
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,junker-queen,Junker Queen,7.5,56.3,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,junkrat,Junkrat,10.5,49.9,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,juno,Juno,12.9,49.0,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,kiriko,Kiriko,15.6,45.8,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,lifeweaver,Lifeweaver,13.2,44.7,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,lucio,Lúcio,9.8,57.0,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,mauga,Mauga,5.5,50.7,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,mei,Mei,7.9,51.1,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,mercy,Mercy,33.3,50.2,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,moira,Moira,19.0,48.5,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
